gbifID,reference,publisher,rightsHolder
3455565133,https://www.inaturalist.org/photos/172632538,"iNaturalist","Alex Heyman"
3455565133,https://www.inaturalist.org/photos/172632585,"iNaturalist","Alex Heyman"
3455556040,https://www.inaturalist.org/photos/175510813,"iNaturalist","Andrea Kreuzhage"
3455556040,https://www.inaturalist.org/photos/175510797,"iNaturalist","Andrea Kreuzhage"
3455534179,https://www.inaturalist.org/photos/174608250,"iNaturalist","Natalie Downe"
3455531357,https://www.inaturalist.org/photos/173776319,"iNaturalist","matthewsabatine"
3455319181,https://www.inaturalist.org/photos/170621753,"iNaturalist","Cricket Raspet"
3416180815,https://www.inaturalist.org/photos/168163935,"iNaturalist","drewmc20"
3416147901,https://www.inaturalist.org/photos/168183672,"iNaturalist","Cricket Raspet"
3416095255,https://www.inaturalist.org/photos/168605221,"iNaturalist","jaredmm1997"
3416070305,https://www.inaturalist.org/photos/167519736,"iNaturalist","Bird Explorers"
3416070305,https://www.inaturalist.org/photos/167519701,"iNaturalist","Bird Explorers"
3416070305,https://www.inaturalist.org/photos/167519706,"iNaturalist","Bird Explorers"
3416070305,https://www.inaturalist.org/photos/167519716,"iNaturalist","Bird Explorers"
3416070305,https://www.inaturalist.org/photos/167519693,"iNaturalist","Bird Explorers"
3416070305,https://www.inaturalist.org/photos/167519721,"iNaturalist","Bird Explorers"
3416070305,https://www.inaturalist.org/photos/167519688,"iNaturalist","Bird Explorers"
3416070305,https://www.inaturalist.org/photos/167519686,"iNaturalist","Bird Explorers"
3416070305,https://www.inaturalist.org/photos/167519733,"iNaturalist","Bird Explorers"
3416070305,https://www.inaturalist.org/photos/167519725,"iNaturalist","Bird Explorers"
3416070305,https://www.inaturalist.org/photos/167519695,"iNaturalist","Bird Explorers"
3416070305,https://www.inaturalist.org/photos/167519649,"iNaturalist","Bird Explorers"
3416070305,https://www.inaturalist.org/photos/167519731,"iNaturalist","Bird Explorers"
3416070305,https://www.inaturalist.org/photos/167519710,"iNaturalist","Bird Explorers"
3416065315,https://www.inaturalist.org/photos/168775061,"iNaturalist","SuzieSeaOtter"
3416065315,https://www.inaturalist.org/photos/168775082,"iNaturalist","SuzieSeaOtter"
3416065315,https://www.inaturalist.org/photos/168775046,"iNaturalist","SuzieSeaOtter"
3416065315,https://www.inaturalist.org/photos/168774973,"iNaturalist","SuzieSeaOtter"
3416065315,https://www.inaturalist.org/photos/168775164,"iNaturalist","SuzieSeaOtter"
3416065315,https://www.inaturalist.org/photos/168775019,"iNaturalist","SuzieSeaOtter"
3416065315,https://www.inaturalist.org/photos/168775004,"iNaturalist","SuzieSeaOtter"
3416048855,https://www.inaturalist.org/photos/169431910,"iNaturalist","wyattherp"
3415993717,https://www.inaturalist.org/photos/167954544,"iNaturalist","Jasper Barnes"
3415993717,https://www.inaturalist.org/photos/167954550,"iNaturalist","Jasper Barnes"
3415993717,https://www.inaturalist.org/photos/167954548,"iNaturalist","Jasper Barnes"
3415745431,https://www.inaturalist.org/photos/170219033,"iNaturalist","Grigory Heaton"
3415711926,https://www.inaturalist.org/photos/169702067,"iNaturalist",armadillocommander
3415711926,https://www.inaturalist.org/photos/169702063,"iNaturalist",armadillocommander
3415711926,https://www.inaturalist.org/photos/169702100,"iNaturalist",armadillocommander
3415711926,https://www.inaturalist.org/photos/169702086,"iNaturalist",armadillocommander
3415710620,https://www.inaturalist.org/photos/167883629,"iNaturalist",Ed Miller
3415677226,https://www.inaturalist.org/photos/169038849,"iNaturalist",Chris
3415591353,https://www.inaturalist.org/photos/168046253,"iNaturalist","Robin Gwen Agarwal"
3415591353,https://www.inaturalist.org/photos/168046276,"iNaturalist","Robin Gwen Agarwal"
3415591353,https://www.inaturalist.org/photos/168046267,"iNaturalist","Robin Gwen Agarwal"
3415584962,https://www.inaturalist.org/photos/169439706,"iNaturalist","James Maughn"
3408168025,https://www.inaturalist.org/photos/166882987,"iNaturalist","Irene"
3408168025,https://www.inaturalist.org/photos/166883006,"iNaturalist","Irene"
3408168025,https://www.inaturalist.org/photos/166883014,"iNaturalist","Irene"
3408168025,https://www.inaturalist.org/photos/166882998,"iNaturalist","Irene"
3408156154,https://www.inaturalist.org/photos/167050250,"iNaturalist","nature1111"
3408111741,https://www.inaturalist.org/photos/166379487,"iNaturalist","James Maughn"
3408111741,https://www.inaturalist.org/photos/166379591,"iNaturalist","James Maughn"
3408111741,https://www.inaturalist.org/photos/166379681,"iNaturalist","James Maughn"
3407952135,https://www.inaturalist.org/photos/167055899,"iNaturalist","Robin Gwen Agarwal"
3399228855,https://www.inaturalist.org/photos/165211955,"iNaturalist",atium
3399165902,https://www.inaturalist.org/photos/160837990,"iNaturalist","Cricket Raspet"
3399090881,https://www.inaturalist.org/photos/160838465,"iNaturalist","Cricket Raspet"
3399077363,https://www.inaturalist.org/photos/165923310,"iNaturalist","Cricket Raspet"
3399061060,https://www.inaturalist.org/photos/163559187,"iNaturalist","James Maughn"
3398929890,https://www.inaturalist.org/photos/165253901,"iNaturalist","Howard Friedman"
3398929890,https://www.inaturalist.org/photos/165253926,"iNaturalist","Howard Friedman"
3398882376,https://www.inaturalist.org/photos/164220996,"iNaturalist","James Maughn"
